nonzero-coefficients:
value,lambdaA1,lambdaA2,lambdaB1,lambdaB2,lambdaB3,lambdaAB1,lambdaAB2,lambdaAB3,lambdaAB4,lambdaAB5,lambdaAB6,a1,a2,b1,b2,b3,c1,c2,c3,c4,c5,c6,T(1;1),T(1;2),T(1;3),T(2;1),T(2;2),T(2;3),u(1),u(2),v(1),v(2),v(3),w(1),w(2),w(3),w(4),w(5),w(6)
2,3,-3,-2,4,-2,5,-1,5,-1,-1,-7,3,-3,2,2,-4,5,5,-1,-1,-1,-7,1,2,4,3,5,6,2,1,3,1,2,3,1,4,2,5,6
1,-3,3,-4,2,2,7,1,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,1,2,1,2,3,1,2,3,4,5,6
1,-3,3,2,-4,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,1,2,2,1,3,1,2,3,5,4,6
1,-3,3,2,-4,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,1,2,2,1,3,2,1,3,4,5,6
2,-3,3,2,-4,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,1,2,2,3,1,1,2,5,3,4,6
1,-3,3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,1,2,2,3,1,2,1,3,5,4,6
2,3,-3,-4,2,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,1,2,3,1,2,3,5,4,6
1,3,-3,-4,2,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,1,2,3,2,1,3,4,5,6
3,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,2,1,3,2,1,3,5,4,6
2,3,-3,2,-4,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,2,3,1,1,2,5,3,6,4
2,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,2,3,1,2,1,3,5,6,4
4,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,2,3,1,2,1,5,3,4,6
1,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,2,3,1,2,3,1,5,4,6
1,3,-3,2,-4,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,2,4,3,5,6,2,1,2,3,1,2,3,4,1,5,6
1,-1,1,-2,0,2,3,1,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,1,2,3,1,2,3,4,5,6
1,-1,1,-2,2,0,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,1,3,2,1,2,3,4,6,5
1,-1,1,-2,2,0,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,1,3,2,1,2,4,3,5,6
2,-1,1,0,2,-2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,1,2,1,2,4,3,6,5
1,-1,1,0,2,-2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,1,2,2,1,3,4,6,5
1,-1,1,0,2,-2,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,1,2,2,1,4,3,5,6
1,-1,1,0,2,-2,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,1,2,2,3,1,4,5,6
1,-1,1,0,-2,2,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,2,1,3,1,2,4,3,5,6
1,-1,1,0,-2,2,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,2,1,3,2,1,3,4,5,6
1,-1,1,2,-2,0,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,2,3,1,1,2,3,6,4,5
1,-1,1,2,-2,0,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,2,3,1,1,2,4,3,6,5
1,-1,1,2,-2,0,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,2,3,1,2,1,3,4,6,5
2,-1,1,2,-2,0,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,2,3,1,2,1,4,3,5,6
1,-1,1,2,0,-2,3,1,-1,-1,-3,1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,2,1,1,2,6,3,4,5
2,-1,1,2,0,-2,1,3,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,2,1,2,1,4,3,6,5
1,-1,1,2,0,-2,-1,3,1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,1,2,3,2,1,2,3,4,1,5,6
1,1,-1,-2,0,2,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,2,3,1,2,3,4,6,5
1,1,-1,-2,0,2,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,2,3,1,2,4,3,5,6
1,1,-1,-2,0,2,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,2,3,2,1,3,4,5,6
2,1,-1,-2,2,0,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,3,2,1,2,4,3,6,5
1,1,-1,-2,2,0,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,3,2,2,1,3,4,6,5
3,1,-1,-2,2,0,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,3,2,1,4,2,3,5,6
1,1,-1,-2,2,0,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,3,2,2,1,4,3,5,6
1,1,-1,-2,2,0,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,1,3,2,2,3,1,4,5,6
3,1,-1,0,2,-2,3,1,-3,1,-1,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,1,2,4,5,6,3
1,1,-1,0,2,-2,3,1,-1,-1,-3,1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,1,2,6,3,4,5
3,1,-1,0,2,-2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,1,4,2,3,6,5
4,1,-1,0,2,-2,1,3,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,2,1,4,3,6,5
2,1,-1,0,2,-2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,2,3,1,4,6,5
3,1,-1,0,2,-2,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,1,4,2,5,3,6
3,1,-1,0,2,-2,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,1,2,2,4,1,3,5,6
1,1,-1,0,-2,2,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,1,3,1,2,3,6,4,5
1,1,-1,0,-2,2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,1,3,1,2,4,3,6,5
1,1,-1,0,-2,2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,1,3,2,1,3,4,6,5
3,1,-1,0,-2,2,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,1,3,1,2,4,5,3,6
2,1,-1,0,-2,2,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,1,3,2,1,4,3,5,6
3,1,-1,2,-2,0,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,1,2,4,6,3,5
2,1,-1,2,-2,0,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,2,1,3,6,4,5
4,1,-1,2,-2,0,1,3,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,2,1,4,3,6,5
3,1,-1,2,-2,0,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,1,4,2,5,3,6
3,1,-1,2,-2,0,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,2,1,4,5,3,6
1,1,-1,2,-2,0,-1,3,1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,2,3,4,1,5,6
3,1,-1,2,-2,0,1,1,-1,3,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,2,3,1,4,1,2,3,5,6
3,1,-1,2,0,-2,3,1,-3,1,-1,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,1,2,4,6,5,3
3,1,-1,2,0,-2,1,3,-3,1,-1,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,2,1,4,5,6,3
3,1,-1,2,0,-2,3,1,-1,-1,-3,1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,1,2,6,4,3,5
3,1,-1,2,0,-2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,1,4,2,6,3,5
2,1,-1,2,0,-2,1,3,-1,-1,-3,1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,2,1,6,3,4,5
2,1,-1,2,0,-2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,2,3,1,6,4,5
2,1,-1,2,0,-2,-1,3,1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,2,3,4,1,6,5
3,1,-1,2,0,-2,1,1,-1,3,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,4,1,2,3,6,5
6,1,-1,2,0,-2,3,-1,-1,1,1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,1,4,5,2,3,6
3,1,-1,2,0,-2,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,2,4,1,5,3,6
3,1,-1,2,0,-2,-1,3,1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,2,4,3,1,5,6
3,1,-1,2,0,-2,1,1,-1,3,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,2,4,3,5,6,2,1,3,2,1,4,2,1,3,5,6
1,0,0,-2,1,1,2,2,-1,-1,-1,-1,0,0,2,-1,-1,2,2,-1,-1,-1,-1,1,3,4,2,5,6,1,2,1,2,3,1,2,3,4,5,6
2,0,0,1,-2,1,2,-1,2,-1,-1,-1,0,0,2,-1,-1,2,2,-1,-1,-1,-1,1,3,4,2,5,6,1,2,2,1,3,1,3,2,4,5,6
1,0,0,1,-2,1,2,-1,2,-1,-1,-1,0,0,2,-1,-1,2,2,-1,-1,-1,-1,1,3,4,2,5,6,1,2,2,3,1,1,3,4,2,5,6
1,0,0,1,-2,1,2,-1,2,-1,-1,-1,0,0,2,-1,-1,2,2,-1,-1,-1,-1,1,3,4,2,5,6,1,2,2,3,1,3,1,2,4,5,6
1,-3,3,-4,2,2,7,1,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,1,2,1,2,3,1,2,3,4,5,6
1,-3,3,2,-4,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,1,2,2,1,3,1,2,3,5,4,6
1,-3,3,2,-4,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,1,2,2,1,3,2,1,3,4,5,6
2,-3,3,2,-4,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,1,2,2,3,1,1,2,5,3,4,6
1,-3,3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,1,2,2,3,1,2,1,3,5,4,6
1,-3,3,2,-4,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,1,2,2,3,1,2,3,1,4,5,6
2,3,-3,-4,2,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,1,2,3,1,2,3,5,4,6
1,3,-3,-4,2,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,1,2,3,2,1,3,4,5,6
3,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,2,1,3,2,1,3,5,4,6
2,3,-3,2,-4,2,7,1,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,2,3,1,1,2,5,3,6,4
2,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,2,3,1,2,1,3,5,6,4
4,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,2,3,1,2,1,5,3,4,6
2,3,-3,2,-4,2,1,7,1,-5,1,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,2,3,1,2,3,1,5,4,6
1,3,-3,2,-4,2,1,7,1,1,-5,-5,3,-3,4,-2,-2,7,1,1,1,-5,-5,1,3,4,2,5,6,2,1,2,3,1,2,3,4,1,5,6
1,-1,1,-2,0,2,3,1,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,1,2,3,1,2,3,4,5,6
1,-1,1,-2,2,0,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,1,3,2,1,2,3,4,6,5
1,-1,1,-2,2,0,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,1,3,2,1,2,4,3,5,6
2,-1,1,0,2,-2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,1,2,1,2,4,3,6,5
1,-1,1,0,2,-2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,1,2,2,1,3,4,6,5
1,-1,1,0,2,-2,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,1,2,2,1,4,3,5,6
1,-1,1,0,-2,2,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,1,3,1,2,4,3,5,6
1,-1,1,0,-2,2,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,1,3,2,1,3,4,5,6
1,-1,1,2,-2,0,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,3,1,1,2,3,6,4,5
1,-1,1,2,-2,0,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,3,1,1,2,4,3,6,5
1,-1,1,2,-2,0,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,3,1,2,1,3,4,6,5
3,-1,1,2,-2,0,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,3,1,1,4,2,3,5,6
2,-1,1,2,-2,0,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,3,1,2,1,4,3,5,6
1,-1,1,2,-2,0,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,2,3,1,2,3,1,4,5,6
1,-1,1,2,0,-2,3,1,-1,-1,-3,1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,2,1,1,2,6,3,4,5
3,-1,1,2,0,-2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,2,1,1,4,2,3,6,5
2,-1,1,2,0,-2,1,3,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,2,1,2,1,4,3,6,5
1,-1,1,2,0,-2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,2,1,2,3,1,4,6,5
1,-1,1,2,0,-2,-1,3,1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,1,2,3,2,1,2,3,4,1,5,6
1,1,-1,-2,0,2,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,1,2,3,1,2,3,4,6,5
1,1,-1,-2,0,2,3,1,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,1,2,3,1,2,4,3,5,6
1,1,-1,-2,0,2,1,3,1,-1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,1,2,3,2,1,3,4,5,6
2,1,-1,-2,2,0,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,1,3,2,1,2,4,3,6,5
1,1,-1,-2,2,0,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,1,3,2,2,1,3,4,6,5
1,1,-1,-2,2,0,1,3,-1,1,-1,-3,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,1,3,2,2,1,4,3,5,6
3,1,-1,0,2,-2,3,1,-3,1,-1,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,3,1,2,1,2,4,5,6,3
1,1,-1,0,2,-2,3,1,-1,-1,-3,1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,3,1,2,1,2,6,3,4,5
4,1,-1,0,2,-2,1,3,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,3,1,2,2,1,4,3,6,5
1,1,-1,0,-2,2,3,1,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,2,1,3,1,2,3,6,4,5
1,1,-1,0,-2,2,3,1,-1,1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,2,1,3,1,2,4,3,6,5
1,1,-1,0,-2,2,1,3,1,-1,-3,-1,1,-1,2,0,-2,3,1,1,-1,-1,-3,1,3,4,2,5,6,2,1,2,1,3,2,1,3,4,6,5
